Serial number,time,size,direction
870,1543255663.080231,60,1
871,1543255663.0896444,54,-1
872,1543255663.1110625,66,-1
873,1543255663.112409,54,-1
874,1543255663.1150022,312,-1
875,1543255663.1536577,60,-1
876,1543255663.1583908,60,-1
877,1543255663.1586845,191,-1
878,1543255663.1601865,54,-1
879,1543255663.1608772,105,-1
880,1543255663.2533712,60,-1
881,1543255663.2792804,810,-1
882,1543255663.3200746,60,-1
883,1543255663.3256972,417,-1
884,1543255663.3276348,85,-1
885,1543255663.327802,54,-1
886,1543255663.3683972,60,-1
887,1543255663.3727403,54,-1
888,1543255663.5725017,287,-1
889,1543255663.5738146,190,-1
890,1543255663.580912,1514,-1
891,1543255663.5817857,1514,-1
892,1543255663.5818317,1514,-1
893,1543255663.5818653,550,-1
894,1543255663.5818954,136,-1
895,1543255663.582962,92,-1
896,1543255663.6146908,60,1
897,1543255663.6206563,60,1
898,1543255663.6211152,60,1
899,1543255663.621117,60,1
900,1543255663.710411,146,1
901,1543255663.710417,92,1
902,1543255663.712699,54,-1
903,1543255663.7129693,54,-1
904,1543255663.8822672,1514,1
905,1543255663.8824227,1514,1
906,1543255663.8825488,1514,1
907,1543255663.8826487,1514,1
908,1543255663.8827755,1514,1
909,1543255663.882899,1514,1
910,1543255663.8830178,1514,1
911,1543255663.883148,1514,1
912,1543255663.8833382,1514,1
913,1543255663.8836458,1514,1
914,1543255663.8878536,54,-1
915,1543255663.8880043,54,-1
916,1543255663.8881376,54,-1
917,1543255663.8882663,54,-1
918,1543255663.8883393,54,-1
919,1543255663.8884137,54,-1
